Name,Height,Weight
Nemanja Radoja,186,77
Marcos Acuña,172,77
Jorge Meré,182,77
Jony,179,80
Antonio Sanabria,180,70
Cheikh N'Doye,192,90
José Izquierdo,171,75
Gonzalo Escalante,182,75
Theo Bongonda,177,71
Sebastián Torrico,186,84
Morales,180,70
Wendell,176,68
Andrej Kramarić,177,73
Davide Zappacosta,182,70
Jemerson,184,77
Lucas Alario,178,67
Duván Zapata,189,88
Wylan Cyprien,180,75
Diego Llorente,185,74
Alex Telles,181,71
Timo Werner,180,75
André Hahn,185,80
Paulo Oliveira,187,82
Rachid Ghezzal,182,65
Grimaldo,176,71
Kevin Wimmer,187,92
Tiago Volpi,185,89
Joël Veltman,182,73
Sead Kolašinac,183,85
Guido Pizarro,186,74
Michael Keane,188,82
Jesse Lingard,174,65
Bigas,181,78
Vlad Chiricheş,184,75
Ben Davies,182,76
Carlos Sánchez,170,66
Santiago Gentiletti,184,79
Takashi Inui,169,63
Raúl Jiménez,190,76
Joel Campbell,178,72
Mário Rui,170,63
M'Baye Niang,184,75
Christoph Kramer,191,76
Konstantinos Fortounis,183,70
Joãozinho,166,61
André Carrillo,180,73
Rodrigo Moledo,188,84
Johannes Geis,181,81
Salif Sané,196,85
Milan Badelj,186,76
Agustín Marchesín,188,85
Łukasz Teodorczyk,185,76
Nacer Chadli,187,80
Cristian Tello,178,65
Bruno,185,86
Sebastian Rode,179,75
Nicolai Jørgensen,190,86
John Guidetti,185,79
Bruno Martins Indi,185,80
Jordy Clasie,169,66
Charles Aránguiz,171,71
Mathew Ryan,184,82
Rogelio Funes Mori,184,81
Aymen Abdennour,187,84
Mexer,185,78
Enzo Pérez,177,71
Teófilo Gutiérrez,178,82
Dorlan Pabón,168,73
Charlie Austin,188,84
Borja Bastón,191,82
Sergi Enrich,181,77
Hernán Pérez,180,77
Thomas Delaney,182,71
Davy Pröpper,185,72
Cenk Tosun,183,78
Koen Casteels,197,86
Emanuele Giaccherini,167,60
Allan Nyom,189,81
Kevin Vogt,194,85
Fontàs,186,89
Lamine Sané,192,77
Gökhan Töre,176,70
Fredy Montero,176,73
Celso Borges,184,82
Michail Antonio,180,79
Etxeita,185,79
Julian Baumgartlinger,183,82
Mehmet Ekici,180,79
Muniain,169,63
Susaeta,179,68
Etrit Berisha,194,92
Yannick Bolasie,185,84
Miguel Lopes,182,83
Senad Lulić,183,78
Rochina,182,76
Omar El Kaddouri,185,74
Denis Glushakov,182,82
Carlos Zambrano,185,83
Mame Diouf,185,79
Onur Kıvrak,187,74
Jefferson Montero,169,64
Keisuke Honda,182,76
Bernardo Espinosa,192,84
Marco Fabián,168,65
Ivelin Popov,182,78
Joe Allen,168,62
Romain Thomas,193,84
Mehdi Carcela-González,176,67
Sandro Wagner,194,87
Pablo Piatti,163,63
Eric Maxim Choupo-Moting,191,91
Sebastian Langkamp,191,85
Neven Subotić,191,83
Fabian Delph,174,60
Raúl Bobadilla,181,88
Troy Deeney,183,90
Håvard Nordtveit,188,83
Balázs Dzsudzsák,179,72
Andy Carroll,191,79
Bořek Dočkal,182,72
Marek Suchý,183,76
Luiz Adriano,182,71
Guilherme,197,78
Ki Sung Yueng,186,75
Ruud Vormer,178,81
Etienne Capoue,190,87
Paul Baysse,187,85
Cristian Zapata,186,78
Dieumerci Mbokani,185,73
Marouane Fellaini,194,85
Nahuel Guzmán,193,93
Adrián Ramos,185,74
Baiano,177,69
Jan Ďurica,188,86
Pedro León,183,73
Zlatko Junuzović,172,69
Luca Antonelli,184,79
Victor Moses,177,85
Zurutuza,186,78
Fraser Forster,201,93
Lasse Schøne,176,75
James McArthur,178,64
Mario Suárez,188,80
Steven Defour,175,72
Diego Buonanotte,161,57
Tim Krul,193,84
Jack Cork,185,69
Kenneth Vermeer,182,78
Rafinha,172,68
Salvatore Bocchetti,186,86
Ignazio Abate,180,73
Rasmus Elm,184,75
Marco Ruben,178,75
Jakub Błaszczykowski,176,77
Adriano,172,75
Tom Heaton,188,86
Oleksandr Kucher,184,77
Karim El Ahmadi,179,78
Javi García,186,82
David Abraham,188,83
Riccardo Montolivo,181,76
Fabio Quagliarella,180,79
Jurado,174,76
Ezequiel Lavezzi,173,75
Christian Gentner,189,81
Laurent Ciman,184,70
Thomas Vermaelen,183,80
Rodrigo Palacio,175,70
Per Ciljan Skjelbred,175,74
Ashley Young,175,65
Mark Noble,180,76
Aaron Lennon,165,63
Christophe Jallet,178,70
Sergey Ryzhikov,192,92
Soldado,180,74
Oscar Wendt,181,82
Gökhan Gönül,175,75
José Sosa,179,71
Ragnar Klavan,187,85
Willy Caballero,186,80
Vágner Love,171,72
Robert Huth,191,88
Gomes,191,91
Martín Demichelis,184,78
Selçuk İnan,182,74
Alexander Meier,196,96
Sergey Ignashevich,187,84
Reyes,176,79
Nigel de Jong,174,72
Mathieu Bodmer,190,90
Joaquín,179,75
Claudio Pizarro,184,84
César Navas,197,88
Alessandro Gamberini,185,80
Kylian Mbappe Lottin,178,68
Alban Lafont,193,82
Renato Sanches,176,70
Formosandrinho,178,72
Sidney Pessinho,187,85
Everticinho,176,75
Louri Beretta,188,83
Claudio Coíntra,174,71
Maikel Catarino,177,75
Ronaldo Esler,168,65
Gazzolisco,186,73
